sim_name,result
100_40-with-80_50,0.016330
100_40-with-90_70,0.018741
100_40-with-80_80,-0.008729
100_40-with-60_50,0.000000
100_40-with-50_40,0.000000
100_40-with-50_100,0.000000
100_40-with-50_50,-0.014087
100_40-with-50_70,0.012610
100_40-with-1_50,-0.159842
100_40-with-20_70,-0.006360
100_40-with-30_100,-0.020281
100_40-with-70_10,-0.008889
100_40-with-100_50,0.100000
100_40-with-40_60,-0.011429
100_40-with-70_80,-0.011494
100_40-with-40_70,-0.010887
100_40-with-90_50,0.093333
100_40-with-100_70,0.020000
100_40-with-80_10,-0.090869
100_40-with-10_30,-0.023734
100_40-with-50_80,0.020367
100_40-with-70_1,-0.003888
100_40-with-40_50,0.002949
100_40-with-100_100,0.013333
100_40-with-40_100,0.011111
100_40-with-70_40,0.053666
100_40-with-1_20,-0.156169
100_40-with-10_1,-0.020386
100_40-with-70_30,0.005714
100_40-with-1_30,-0.186782
100_40-with-30_20,0.004952
100_40-with-10_80,-0.022164
100_40-with-90_80,0.000000
100_40-with-100_20,-0.040000
100_40-with-10_100,-0.030729
100_40-with-10_40,-0.035777
100_40-with-1_80,-0.161150
100_40-with-80_70,0.016036
100_40-with-40_1,-0.015465
100_40-with-20_40,0.006708
100_40-with-1_90,-0.154530
100_40-with-1_100,-0.158605
100_40-with-30_10,-0.057269
100_40-with-90_100,0.013108
100_40-with-70_100,0.026186
100_40-with-20_1,-0.008199
100_40-with-30_1,-0.038883
100_40-with-20_30,-0.008889
100_40-with-20_100,-0.011142
100_40-with-50_30,-0.003522
100_40-with-70_60,-0.025607
100_40-with-50_90,-0.005333
100_40-with-90_90,0.011711
100_40-with-60_80,0.023333
100_40-with-20_50,0.000000
100_40-with-1_10,-0.161886
100_40-with-20_90,-0.003904
100_40-with-90_10,-0.062470
100_40-with-1_70,-0.167108
60_70-with-30_50,-0.046093
60_70-with-90_60,-0.108571
60_70-with-20_20,-0.038759
60_70-with-20_10,-0.072161
60_70-with-50_1,0.002861
60_70-with-40_30,-0.100380
60_70-with-1_1,-0.169432
60_70-with-20_80,-0.043644
60_70-with-100_60,-0.030551
60_70-with-1_40,-0.355027
60_70-with-80_1,-0.052390
60_70-with-90_20,-0.029896
60_70-with-10_10,-0.063410
60_70-with-50_20,-0.062458
60_70-with-10_90,-0.033686
60_70-with-30_70,-0.053666
60_70-with-10_50,-0.060635
60_70-with-40_90,0.020000
60_70-with-70_20,-0.054650
60_70-with-1_60,-0.319688
60_70-with-70_70,-0.107331
60_70-with-100_80,-0.013093
60_70-with-60_10,-0.060000
60_70-with-90_1,-0.005214
60_70-with-60_30,-0.040000
60_70-with-100_30,-0.030000
60_70-with-30_30,-0.042144
60_70-with-10_60,-0.070436
60_70-with-80_30,0.000000
60_70-with-80_90,0.000000
60_70-with-60_40,-0.033333
60_70-with-10_70,-0.057243
60_70-with-50_10,-0.081923
60_70-with-90_40,-0.017778
60_70-with-70_90,-0.017457
60_70-with-60_60,-0.020000
60_70-with-60_90,0.030000
60_70-with-40_10,-0.084334
60_70-with-10_20,-0.053333
60_70-with-70_50,-0.052372
60_70-with-20_60,-0.043644
60_70-with-60_20,-0.040000
60_70-with-60_100,0.026667
60_70-with-30_40,-0.075556
60_70-with-100_90,-0.020412
60_70-with-100_1,0.014594
60_70-with-50_60,-0.066667
60_70-with-40_80,-0.032660
60_70-with-40_20,-0.054772
60_70-with-40_40,-0.026726
