sim_name,result
90_60-with-70_80,0.000000
90_60-with-40_70,-0.007044
90_60-with-90_50,-0.040000
90_60-with-100_70,-0.040000
90_60-with-80_10,-0.085879
90_60-with-10_30,-0.061480
90_60-with-50_80,0.016330
90_60-with-70_1,-0.019019
90_60-with-40_50,-0.035218
90_60-with-100_100,-0.024077
90_60-with-40_100,-0.002910
90_60-with-70_40,-0.026667
90_60-with-1_20,-0.197297
90_60-with-10_1,-0.029865
90_60-with-70_30,-0.016036
90_60-with-1_30,-0.205484
90_60-with-30_20,-0.048654
90_60-with-10_80,-0.026186
90_60-with-90_80,0.000000
90_60-with-100_20,-0.077047
90_60-with-10_100,-0.008165
90_60-with-10_40,-0.045826
90_60-with-1_80,-0.228088
90_60-with-80_70,0.000000
90_60-with-40_1,-0.024607
90_60-with-20_40,-0.037139
90_60-with-1_90,-0.197803
90_60-with-1_100,-0.193574
90_60-with-30_10,-0.059761
90_60-with-90_100,0.020000
90_60-with-70_100,-0.017457
90_60-with-20_1,-0.032650
90_60-with-30_1,-0.017910
90_60-with-20_30,-0.047724
90_60-with-20_100,-0.036408
90_60-with-50_30,-0.029711
90_60-with-70_60,-0.089443
90_60-with-50_90,-0.003714
90_60-with-90_90,-0.006667
90_60-with-60_80,0.035850
90_60-with-20_50,-0.032954
90_60-with-1_10,-0.181066
90_60-with-20_90,0.002386
90_60-with-90_10,-0.084000
90_60-with-1_70,-0.195551
20_20-with-20_10,-0.360000
20_20-with-50_1,0.083012
20_20-with-40_30,-0.016330
20_20-with-1_1,-0.516209
20_20-with-20_80,0.056667
20_20-with-100_60,0.028577
20_20-with-1_40,-0.511199
20_20-with-80_1,0.063109
20_20-with-90_20,0.040888
20_20-with-10_10,-0.080000
20_20-with-50_20,0.119257
20_20-with-10_90,0.011286
20_20-with-30_70,0.078072
20_20-with-10_50,0.062470
20_20-with-40_90,0.040825
20_20-with-70_20,0.035777
20_20-with-1_60,-0.356842
20_20-with-70_70,0.053333
20_20-with-100_80,0.038996
20_20-with-60_10,-0.008729
20_20-with-90_1,0.017384
20_20-with-60_30,0.082923
20_20-with-100_30,0.013333
20_20-with-30_30,0.133333
20_20-with-10_60,0.009631
20_20-with-80_30,0.023591
20_20-with-80_90,0.035068
20_20-with-60_40,0.057155
20_20-with-10_70,0.035132
20_20-with-50_10,-0.062857
20_20-with-90_40,0.039615
20_20-with-70_90,0.058047
20_20-with-60_60,0.050000
20_20-with-60_90,0.045747
20_20-with-40_10,-0.057155
20_20-with-10_20,-0.089443
20_20-with-70_50,0.047287
20_20-with-20_60,0.115000
20_20-with-60_20,0.026833
20_20-with-60_100,0.034915
20_20-with-30_40,0.061101
20_20-with-100_90,0.029935
20_20-with-100_1,0.010936
20_20-with-50_60,0.053638
20_20-with-40_80,0.078087
20_20-with-40_20,0.080498
20_20-with-40_40,0.113333
20_20-with-60_1,0.061741
20_20-with-80_20,-0.011926
20_20-with-30_60,0.057785
20_20-with-30_80,0.036046
20_20-with-80_60,0.048654
20_20-with-80_40,0.040000
20_20-with-80_100,0.045976
20_20-with-80_50,0.048990
20_20-with-90_70,0.043071
20_20-with-80_80,0.044444
20_20-with-60_50,0.051995
20_20-with-50_40,0.071701
20_20-with-50_100,0.032278
20_20-with-50_50,0.093333
